,baseMean,log2FoldChange,lfcSE,pvalue,padj
FBgn0001565,3280.004532,0.031179481,0.047153563,0.421566369,0.740382434
FBgn0001612,1950.817855,-0.044961673,0.073711255,0.238234729,0.592057887
FBgn0001624,3305.861987,0.053590882,0.048587496,0.160822729,0.504374623
FBgn0001941,3575.715727,0.010367233,0.031261948,0.715520585,0.891964394
FBgn0001942,25675.68217,-0.031925242,0.05777536,0.346473826,0.688155193
FBgn0001961,1920.170121,-0.0338437,0.072905797,0.327885207,0.67613311
FBgn0001965,1528.391002,-0.025065693,0.055277783,0.515171675,0.797740754
FBgn0001967,0.430141887,-0.001584883,0.074747287,0.540489442,NA
FBgn0001970,495.0254669,-0.125373142,0.149913805,0.029271928,0.23596948
FBgn0001974,814.7063659,-0.021096377,0.066277611,0.535811782,0.807452001
FBgn0001977,921.6932232,0.016626625,0.056425626,0.652679788,0.86165399
FBgn0001978,4266.625371,-0.045284802,0.05484664,0.320592214,0.671251767
FBgn0001981,81.93757514,0.027674009,0.075479271,0.317186457,0.667756646
FBgn0001983,0,NA,NA,NA,NA
FBgn0001986,1345.279136,0.021072345,0.04830109,0.571988799,0.823959251
FBgn0001987,1165.693289,0.022594848,0.066553779,0.51173248,0.795158447
FBgn0001989,460.5857994,-0.017009,0.074567966,0.394552197,0.72291575
FBgn0001990,726.1591879,-0.040256189,0.068179758,0.301201001,0.651663848
FBgn0001991,577.6686997,0.034282353,0.076330109,0.275032441,0.627425121
FBgn0001992,2.353902645,-0.00292303,0.074609955,0.624562483,NA
FBgn0001994,3061.224836,-0.038938737,0.04172858,0.263980802,0.616746723
FBgn0001995,541.7763697,-0.086090178,0.102692074,0.069023415,0.353210162
FBgn0002021,653.4193336,0.033781561,0.04995679,0.374203283,0.707520647
FBgn0002022,1464.553189,0.008303038,0.039835938,0.798596566,0.92912844
FBgn0002023,41.15197009,0.042402105,0.088633054,0.071339969,0.357169405
FBgn0002031,2940.352781,-0.047389298,0.077600137,0.209231995,0.562490279
